ranking,pathway,size,ES,NES,p_value,FDR_BH
raw_spearman,HALLMARK_GLYCOLYSIS,188,0.21778002645216055,1.0722791012949455,0.2915326902465166,0.7233680416499799
raw_spearman,HALLMARK_APOPTOSIS,154,-0.2175499786198491,-1.0667815197610344,0.3033112582781457,0.7233680416499799
raw_spearman,HALLMARK_COAGULATION,129,-0.22199986183150838,-1.0625027538442693,0.3180026281208936,0.7233680416499799
raw_spearman,HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0.2381589102997513,1.068865992617027,0.31828193832599116,0.7233680416499799
raw_spearman,HALLMARK_INFLAMMATORY_RESPONSE,196,0.21126927885478206,1.0479435103306316,0.33792104310032595,0.734610963261578
raw_spearman,HALLMARK_TGF_BETA_SIGNALING,48,0.27085533131174905,1.0543143963742037,0.35941043083900226,0.7456943935507513
raw_spearman,HALLMARK_WNT_BETA_CATENIN_SIGNALING,40,0.28476369918437494,1.0451109776539278,0.3871580547112462,0.7456943935507513
raw_spearman,HALLMARK_FATTY_ACID_METABOLISM,139,0.2162216175375073,1.025412742052021,0.390127970749543,0.7456943935507513
raw_spearman,HALLMARK_E2F_TARGETS,181,-0.20217789349387247,-1.014006152155025,0.41711229946524064,0.7456943935507513
raw_spearman,HALLMARK_CHOLESTEROL_HOMEOSTASIS,68,-0.23720073969178823,-1.0100429407600815,0.4238701184730145,0.7456943935507513
raw_spearman,HALLMARK_P53_PATHWAY,190,0.20447611860024942,1.0079086341709902,0.4330935251798561,0.7456943935507513
raw_spearman,HALLMARK_PROTEIN_SECRETION,90,0.22754829394879325,1.0029782475854596,0.44741663613045074,0.7456943935507513
raw_spearman,HALLMARK_INTERFERON_GAMMA_RESPONSE,181,0.19829549815744985,0.9756492730946742,0.519113969274741,0.8192905159883721
raw_spearman,HALLMARK_HEME_METABOLISM,176,0.1980175375952555,0.9728286367947547,0.5243459302325582,0.8192905159883721
raw_spearman,HALLMARK_PEROXISOME,103,0.21335498167582023,0.958245404350723,0.542674253200569,0.822233716970559
raw_spearman,HALLMARK_ESTROGEN_RESPONSE_EARLY,194,0.1902397664554157,0.9441614326020329,0.6087585957292798,0.8754631289590057
raw_spearman,HALLMARK_IL6_JAK_STAT3_SIGNALING,79,0.21342558719740917,0.9146768912641075,0.6266375545851528,0.8754631289590057
raw_spearman,HALLMARK_ANDROGEN_RESPONSE,92,0.2043563966285179,0.9066870359781368,0.6597785977859778,0.8754631289590057
raw_spearman,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,98,0.20264330291418392,0.9043693986926841,0.6645686782673084,0.8754631289590057
raw_spearman,HALLMARK_UV_RESPONSE_UP,141,0.19316601754776638,0.9189438616985651,0.6703256494694475,0.8754631289590057
raw_spearman,HALLMARK_ANGIOGENESIS,35,-0.23629248048518628,-0.8679291254514268,0.6889174154899443,0.8754631289590057
raw_spearman,HALLMARK_MYOGENESIS,192,0.18401842123024362,0.9046575392725256,0.7135871463499825,0.8754631289590057
raw_spearman,HALLMARK_UV_RESPONSE_DN,141,-0.1872340193903442,-0.9031477842028589,0.7200883002207505,0.8754631289590057
raw_spearman,HALLMARK_SPERMATOGENESIS,124,0.19053649913645362,0.884560647783094,0.7353890283255647,0.8754631289590057
raw_spearman,HALLMARK_XENOBIOTIC_METABOLISM,188,0.17619043786568314,0.8642567828761785,0.8118565850195243,0.9051756283093446
raw_spearman,HALLMARK_MTORC1_SIGNALING,173,-0.17509877417297928,-0.8653596734250592,0.8171010516689529,0.9051756283093446
raw_spearman,HALLMARK_ESTROGEN_RESPONSE_LATE,190,0.17350641098632177,0.8532412385362179,0.8321855744835085,0.9051756283093446
raw_spearman,HALLMARK_MYC_TARGETS_V2,53,-0.19807651838349247,-0.7962729137401225,0.8327615780445969,0.9051756283093446
raw_spearman,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,43,-0.1977588598812104,-0.7638723106272993,0.856898029134533,0.9115936480154605
raw_spearman,HALLMARK_HEDGEHOG_SIGNALING,35,-0.1952968831866805,-0.7215152398095906,0.9072379367720466,0.9291450822236902
raw_spearman,HALLMARK_APICAL_SURFACE,42,-0.18622895302358425,-0.7186786121749263,0.9105621805792163,0.9291450822236902
raw_spearman,HALLMARK_COMPLEMENT,190,-0.15783652947976157,-0.7991004621011355,0.9481281010374379,0.948128101037438
